FCOJFK FCO JFK PA112 PA 112 2200 0730+1 6 F3 C4 Y1
IADLHR IAD LHR PA152 PA 152 0800 1520   4 F5 C7 Y2
IADLHR IAD LHR PA128 PA 128 1000 1720   4 F1 C6 Y9
IADLHR IAD LHR PA144 PA 144 2100 0420+1 6 F4 C0 Y0
LHRIAD LHR IAD PA154 PA 154 0800 1610   4 F6 C2 Y6
LHRIAD LHR IAD PA184 PA 184 0900 1710   4 F3 C0 Y0
LHRIAD LHR IAD PA183 PA 183 1100 1910   4 F8 C5 Y7
LHRIAD LHR IAD PA159 PA 159 1900 0310+1 6 F2 C7 Y8
MIALHR MIA LHR PA179 PA 179 0800 1640   4 F8 C6 Y5
MIALHR MIA LHR PA102 PA 102 1000 1840   4 F3 C8 Y6
MIALHR MIA LHR PA191 PA 191 1900 0340+1 6 F8 C4 Y9
LHRMIA LHR MIA PA174 PA 174 1300 2220   4 F1 C2 Y3
LHRMIA LHR MIA PA187 PA 187 2100 0620+1 6 F7 C6 Y9
JFKSJU JFK SJU PA219 PA 219 0700 1045   4 F1 C0 Y9
JFKSJU JFK SJU PA279 PA 279 0800 1145   4 F8 C6 Y2
JFKSJU JFK SJU PA252 PA 252 1000 1345   4 F3 C0 Y0
SJUJFK SJU JFK PA255 PA 255 0900 1255   4 F5 C8 Y8
SJUJFK SJU JFK PA285 PA 285 1100 1455   4 F8 C5 Y5
SJUJFK SJU JFK PA298 PA 298 2100 0055+1 6 F3 C7 Y8
JFKGIG JFK GIG PA234 PA 234 0800 1730   4 F6 C2 Y2
JFKGIG JFK GIG PA201 PA 201 0900 1830   4 F1 C1 Y1
GIGJFK GIG JFK PA284 PA 284 0700 1640   4 F1 C0 Y6
GIGJFK GIG JFK PA238 PA 238 1100 2040   4 F4 C4 Y5
GIGJFK GIG JFK PA226 PA 226 1500 0040+1 6 F7 C3 Y2
JFKEZE JFK EZE PA281 PA 281 0900 1950   4 F2 C8 Y0
JFKEZE JFK EZE PA209 PA 209 1300 2350   4 F8 C1 Y7
JFKEZE JFK EZE PA294 PA 294 1700 0350+1 6 F3 C0 Y3
EZEJFK EZE JFK PA271 PA 271 0800 1840   4 F7 C3 Y1
EZEJFK EZE JFK PA225 PA 225 0900 1940   4 F0 C1 Y4
EZEJFK EZE JFK PA232 PA 232 1700 0340+1 6 F7 C0 Y9
EZEJFK EZE JFK PA260 PA 260 1800 0440+1 6 F3 C3 Y2
JFKCCS JFK CCS PA228 PA 228 0800 1240   4 F7 C5 Y2
JFKCCS JFK CCS PA269 PA 269 1000 1440   4 F2 C2 Y5
JFKCCS JFK CCS PA268 PA 268 1900 2340   4 F8 C5 Y9
JFKCCS JFK CCS PA245 PA 245 2100 0140+1 6 F6 C0 Y1
CCSJFK CCS JFK PA273 PA 273 1300 1750   4 F8 C4 Y0
CCSJFK CCS JFK PA257 PA 257 2200 0250+1 6 F7 C5 Y4
MIACCS MIA CCS PA247 PA 247 0900 1205   4 F6 C7 Y8
MIACCS MIA CCS PA275 PA 275 1000 1305   4 F3 C6 Y9
MIACCS MIA CCS PA263 PA 263 1500 1805   4 F2 C4 Y6
CCSMIA CCS MIA PA265 PA 265 0800 1110   4 F4 C6 Y1
CCSMIA CCS MIA PA212 PA 212 2100 0010+1 6 F5 C6 Y9
MIAGUA MIA GUA PA213 PA 213 0900 1135   4 F2 C6 Y5
MIAGUA MIA GUA PA222 PA 222 2100 2335   4 F1 C1 Y9
GUAMIA GUA MIA PA217 PA 217 0800 1030   4 F4 C1 Y6
GUAMIA GUA MIA PA207 PA 207 1500 1730   4 F8 C7 Y0
GUAMIA GUA MIA PA244 PA 244 1700 1930   4 F6 C5 Y2
GUAMIA GUA MIA PA254 PA 254 2100 2330   4 F7 C6 Y0
MIAPTY MIA PTY PA200 PA 200 0800 1055   4 F4 C4 Y3
MIAPTY MIA PTY PA208 PA 208 1300 1555   4 F7 C6 Y2
PTYMIA PTY MIA PA211 PA 211 1500 1750   4 F0 C6 Y5
PTYMIA PTY MIA PA259 PA 259 2100 2350   4 F5 C2 Y4
JFKLAX JFK LAX PA460 PA 460 0800 1400   4 F7 C1 Y3
JFKLAX JFK LAX PA448 PA 448 0900 1500   4 F1 C0 Y1
JFKLAX JFK LAX PA476 PA 476 1700 2300   4 F8 C2 Y7
FRATXL FRA TXL PA647 PA 647 0700 0805   4 F3 C6 Y2
FRATXL FRA TXL PA600 PA 600 1100 1205   4 F3 C6 Y9
FRATXL FRA TXL PA611 PA 611 1800 1905   4 F6 C5 Y3
TXLFRA TXL FRA PA626 PA 626 0700 0805   4 F0 C3 Y4
TXLFRA TXL FRA PA695 PA 695 0800 0905   4 F0 C4 Y3
TXLFRA TXL FRA PA674 PA 674 0900 1005   4 F0 C1 Y1
TXLFRA TXL FRA PA630 PA 630 2100 2205   4 F5 C1 Y3
TXLMUC TXL MUC PA621 PA 621 1500 1610   4 F7 C8 Y6
TXLMUC TXL MUC PA648 PA 648 2200 2310   4 F2 C3 Y1
MUCTXL MUC TXL PA645 PA 645 0700 0810   4 F5 C8 Y9
MUCTXL MUC TXL PA649 PA 649 0800 0910   4 F3 C1 Y7
TXLHAM TXL HAM PA675 PA 675 0800 0855   4 F0 C6 Y5
TXLHAM TXL HAM PA620 PA 620 0900 0955   4 F0 C5 Y2
TXLHAM TXL HAM PA641 PA 641 1100 1155   4 F0 C5 Y4
TXLHAM TXL HAM PA642 PA 642 2200 2255   4 F7 C3 Y5
HAMTXL HAM TXL PA697 PA 697 1100 1155   4 F7 C3 Y1
HAMTXL HAM TXL PA652 PA 652 1300 1355   4 F4 C1 Y5
LAXHNL LAX HNL PA842 PA 842 0800 1330   4 F0 C6 Y2
LAXHNL LAX HNL PA890 PA 890 0900 1430   4 F0 C1 Y9
LAXHNL LAX HNL PA805 PA 805 1000 1530   4 F8 C8 Y3
LAXHNL LAX HNL PA827 PA 827 1800 2330   4 F6 C0 Y5
HNLLAX HNL LAX PA855 PA 855 0700 1200   4 F6 C6 Y7
HNLLAX HNL LAX PA895 PA 895 0900 1400   4 F3 C7 Y9
HNLLAX HNL LAX PA873 PA 873 1500 2000   4 F8 C1 Y3
HNLLAX HNL LAX PA860 PA 860 2100 0200+1 6 F0 C0 Y5
SFOHNL SFO HNL PA879 PA 879 1300 1810   4 F8 C5 Y3
SFOHNL SFO HNL PA812 PA 812 1800 2310   4 F3 C7 Y5
SFOHNL SFO HNL PA848 PA 848 2200 0310+1 6 F3 C5 Y1
HNLSFO HNL SFO PA824 PA 824 1000 1445   4 F8 C6 Y9
HNLSFO HNL SFO PA889 PA 889 1100 1545   4 F4 C5 Y6
HNLSFO HNL SFO PA801 PA 801 1800 2245   4 F0 C0 Y9
HNLSFO HNL SFO PA882 PA 882 2200 0245+1 6 F2 C6 Y2
HNLNRT HNL NRT PA883 PA 883 0800 1630   4 F7 C3 Y2
HNLNRT HNL NRT PA887 PA 887 1000 1830   4 F7 C4 Y8
HNLNRT HNL NRT PA858 PA 858 1500 2330   4 F3 C6 Y9
HNLNRT HNL NRT PA875 PA 875 2100 0530+1 6 F7 C5 Y9
NRTHNL NRT HNL PA846 PA 846 1100 1830   4 F7 C2 Y0
NRTHNL NRT HNL PA821 PA 821 1500 2230   4 F7 C7 Y1
NRTHNL NRT HNL PA894 PA 894 1700 0030+1 6 F1 C7 Y5
NRTHNL NRT HNL PA845 PA 845 1800 0130+1 6 F5 C8 Y2
SFONRT SFO NRT PA877 PA 877 0700 1730   4 F5 C2 Y0
SFONRT SFO NRT PA862 PA 862 1800 0430+1 6 F6 C8 Y0
SFONRT SFO NRT PA829 PA 829 2100 0730+1 6 F6 C6 Y8
SFONRT SFO NRT PA857 PA 857 2200 0830+1 6 F8 C5 Y8
NRTSFO NRT SFO PA863 PA 863 0700 1610   4 F6 C2 Y8
NRTSFO NRT SFO PA822 PA 822 1000 1910   4 F5 C6 Y1
NRTSFO NRT SFO PA834 PA 834 1700 0210+1 6 F8 C4 Y6
NRTHKG NRT HKG PA828 PA 828 1000 1440   4 F3 C5 Y0
NRTHKG NRT HKG PA885 PA 885 1900 2340   4 F2 C2 Y3
NRTHKG NRT HKG PA817 PA 817 2100 0140+1 6 F0 C7 Y6
HKGNRT HKG NRT PA816 PA 816 0800 1210   4 F7 C8 Y1
HKGNRT HKG NRT PA868 PA 868 1100 1510   4 F2 C7 Y2
HKGNRT HKG NRT PA838 PA 838 1700 2110   4 F2 C0 Y1
HKGNRT HKG NRT PA810 PA 810 1800 2210   4 F0 C3 Y8
HNLSYD HNL SYD PA831 PA 831 0900 1900   4 F3 C6 Y4
HNLSYD HNL SYD PA893 PA 893 1100 2100   4 F4 C3 Y5
HNLSYD HNL SYD PA820 PA 820 1300 2300   4 F5 C8 Y1
SYDHNL SYD HNL PA878 PA 878 0700 1620   4 F5 C6 Y1
SYDHNL SYD HNL PA851 PA 851 0900 1820   4 F1 C6 Y1
SYDHNL SYD HNL PA865 PA 865 1000 1920   4 F6 C2 Y8
SYDHNL SYD HNL PA867 PA 867 1800 0320+1 6 F7 C8 Y7
HNLGUM HNL GUM PA847 PA 847 0700 1430   4 F3 C5 Y3
HNLGUM HNL GUM PA809 PA 809 1900 0230+1 6 F2 C0 Y2
HNLGUM HNL GUM PA888 PA 888 2100 0430+1 6 F7 C8 Y8
HNLGUM HNL GUM PA823 PA 823 2200 0530+1 6 F0 C2 Y3
GUMHNL GUM HNL PA886 PA 886 0800 1500   4 F0 C5 Y6
GUMHNL GUM HNL PA807 PA 807 1000 1700   4 F8 C7 Y7
GUMHNL GUM HNL PA892 PA 892 1700 0000+1 6 F2 C4 Y1
GUMHNL GUM HNL PA813 PA 813 2100 0400+1 6 F3 C2 Y0
